LS 52800,BP 938.410,BH 28.340,BT 15.720,DH 65.000,DT 5.000,GT 23:27:42,GD 27/3,GF 1/2,GS 8,GL 1036.979,GB 4746.399,GH 728.9000
LS 52805,BP 938.400,BH 28.360,BT 15.710,DH --.---,DT --.---,GT 23:27:47,GD 27/3,GF 1/2,GS 9,GL 1036.980,GB 4746.399,GH 727.1000
LS 52810,BP 938.420,BH 28.350,BT 15.710,DH 65.000,DT 5.000,GT 23:27:52,GD 27/3,GF 1/2,GS 8,GL 1036.981,GB 4746.400,GH 725.3000
LS 52815,BP 938.430,BH 28.350,BT 15.700,DH 65.000,DT 5.000,GT 23:27:57,GD 27/3,GF 1/2,GS 8,GL 1036.981,GB 4746.400,GH 723.6000
LS 52820,BP 938.440,BH 28.360,BT 15.700,DH 65.100,DT 5.000,GT 23:28:2,GD 27/3,GF 1/2,GS 9,GL 1036.982,GB 4746.400,GH 722.3000
LS 52825,BP 938.400,BH 28.350,BT 15.690,DH 65.100,DT 5.000,GT 23:28:7,GD 27/3,GF 1/2,GS 9,GL 1036.982,GB 4746.401,GH 721.3000
LS 52830,BP 938.450,BH 28.360,BT 15.690,DH 65.000,DT 5.000,GT 23:28:12,GD 27/3,GF 1/2,GS 9,GL 1036.982,GB 4746.401,GH 720.3000
LS 52835,BP 938.450,BH 28.350,BT 15.690,DH 64.800,DT 5.000,GT 23:28:17,GD 27/3,GF 1/2,GS 9,GL 1036.983,GB 4746.401,GH 719.4000
LS 52840,BP 938.450,BH 28.370,BT 15.680,DH 64.700,DT 5.000,GT 23:28:22,GD 27/3,GF 1/2,GS 9,GL 1036.983,GB 4746.401,GH 718.5000
LS 52845,BP 938.410,BH 28.370,BT 15.670,DH 64.800,DT 5.000,GT 23:28:27,GD 27/3,GF 1/2,GS 9,GL 1036.984,GB 4746.401,GH 717.6000
LS 52850,BP 938.420,BH 28.370,BT 15.670,DH 64.800,DT 5.000,GT 23:28:32,GD 27/3,GF 1/2,GS 9,GL 1036.984,GB 4746.401,GH 716.7000
LS 52855,BP 938.420,BH 28.480,BT 15.660,DH 64.700,DT 5.000,GT 23:28:37,GD 27/3,GF 1/2,GS 9,GL 1036.984,GB 4746.401,GH 715.9000
LS 52860,BP 938.430,BH 28.380,BT 15.660,DH 64.500,DT 5.000,GT 23:28:42,GD 27/3,GF 1/2,GS 9,GL 1036.984,GB 4746.402,GH 715.0000
LS 52865,BP 938.440,BH 28.380,BT 15.660,DH 64.400,DT 5.000,GT 23:28:47,GD 27/3,GF 1/2,GS 9,GL 1036.985,GB 4746.402,GH 714.3000
LS 52870,BP 938.410,BH 28.380,BT 15.650,DH 64.200,DT 5.000,GT 23:28:52,GD 27/3,GF 1/2,GS 9,GL 1036.985,GB 4746.402,GH 713.5000
LS 52875,BP 938.420,BH 28.390,BT 15.650,DH 64.100,DT 5.000,GT 23:28:57,GD 27/3,GF 1/2,GS 9,GL 1036.985,GB 4746.402,GH 712.8000
LS 52880,BP 938.420,BH 28.390,BT 15.640,DH 64.000,DT 5.000,GT 23:29:2,GD 27/3,GF 1/2,GS 10,GL 1036.986,GB 4746.402,GH 712.1000
LS 52885,BP 938.400,BH 28.390,BT 15.630,DH 63.900,DT 5.000,GT 23:29:7,GD 27/3,GF 1/2,GS 10,GL 1036.986,GB 4746.402,GH 711.5000
LS 52890,BP 938.450,BH 28.390,BT 15.640,DH 63.800,DT 5.000,GT 23:29:12,GD 27/3,GF 1/2,GS 10,GL 1036.986,GB 4746.403,GH 711.0000
LS 52895,BP 938.460,BH 28.390,BT 15.630,DH 63.900,DT 5.000,GT 23:29:17,GD 27/3,GF 1/2,GS 9,GL 1036.986,GB 4746.403,GH 710.7000
LS 52900,BP 938.460,BH 28.300,BT 15.640,DH 64.200,DT 5.000,GT 23:29:22,GD 27/3,GF 1/2,GS 10,GL 1036.986,GB 4746.403,GH 710.7000
LS 52905,BP 938.460,BH 28.400,BT 15.620,DH 64.600,DT 5.000,GT 23:29:27,GD 27/3,GF 1/2,GS 10,GL 1036.986,GB 4746.403,GH 710.7000
LS 52910,BP 938.460,BH 28.410,BT 15.610,DH 3309.100,DT -2.500,GT 23:29:32,GD 27/3,GF 1/2,GS 9,GL 1036.986,GB 4746.403,GH 710.7000
LS 52915,BP 938.460,BH 27.980,BT 15.610,DH 64.700,DT 5.000,GT 23:29:37,GD 27/3,GF 1/2,GS 9,GL 1036.986,GB 4746.403,GH 710.8000
LS 52920,BP 938.420,BH 28.420,BT 15.590,DH 64.700,DT 5.000,GT 23:29:42,GD 27/3,GF 1/2,GS 9,GL 1036.986,GB 4746.403,GH 710.8000
LS 52925,BP 938.430,BH 28.410,BT 15.610,DH 64.900,DT 5.000,GT 23:29:47,GD 27/3,GF 1/2,GS 9,GL 1036.986,GB 4746.402,GH 710.9000
LS 52930,BP 938.450,BH 28.420,BT 15.600,DH 65.100,DT 5.000,GT 23:29:52,GD 27/3,GF 1/2,GS 9,GL 1036.986,GB 4746.402,GH 711.0000
LS 52935,BP 938.470,BH 28.430,BT 15.590,DH 65.100,DT 5.000,GT 23:29:57,GD 27/3,GF 1/2,GS 9,GL 1036.986,GB 4746.402,GH 711.0000
LS 52940,BP 938.440,BH 28.430,BT 15.590,DH 65.100,DT 5.000,GT 23:30:2,GD 27/3,GF 1/2,GS 8,GL 1036.986,GB 4746.402,GH 711.1000
LS 52945,BP 938.450,BH 28.440,BT 15.580,DH 65.100,DT 5.000,GT 23:30:7,GD 27/3,GF 1/2,GS 8,GL 1036.986,GB 4746.402,GH 711.1000
